,date,season,team1,team2,elo1_post,elo2_post,score1,score2,wiz_elo,result,datetime
65787,2017-10-18,2018,WAS,PHI,1567.5341617163099,1377.72603777677,120,115,1567.5341617163099,Win,2017-10-18
65798,2017-10-20,2018,WAS,DET,1570.1203603492902,1462.40646402887,115,111,1570.1203603492902,Win,2017-10-20
65828,2017-10-23,2018,DEN,WAS,1531.11287333626,1579.0551339419699,104,109,1579.0551339419699,Win,2017-10-23
65844,2017-10-25,2018,LAL,WAS,1395.91432547664,1571.48810042183,102,99,1571.48810042183,Loss,2017-10-25
65857,2017-10-27,2018,GSW,WAS,1750.5045738593699,1569.94757182667,120,117,1569.94757182667,Loss,2017-10-27
65868,2017-10-29,2018,SAC,WAS,1389.53336956513,1585.6642733551998,83,110,1585.6642733551998,Win,2017-10-29
65888,2017-11-01,2018,WAS,PHO,1568.05077364901,1393.15707795828,116,122,1568.05077364901,Loss,2017-11-01
65900,2017-11-03,2018,WAS,CLE,1554.24509582174,1550.56940370674,122,130,1554.24509582174,Loss,2017-11-03
65920,2017-11-05,2018,TOR,WAS,1556.12416685556,1570.3829154969198,96,107,1570.3829154969198,Win,2017-11-05
65931,2017-11-07,2018,WAS,DAL,1542.5839070509398,1415.19465810082,99,113,1542.5839070509398,Loss,2017-11-07
65945,2017-11-09,2018,WAS,LAL,1547.55126641649,1406.7193587063198,111,95,1547.55126641649,Win,2017-11-09
65958,2017-11-11,2018,WAS,ATL,1553.3519156207099,1418.11053892914,113,94,1553.3519156207099,Win,2017-11-11
65973,2017-11-13,2018,WAS,SAC,1557.61877987659,1374.65263822836,110,92,1557.61877987659,Win,2017-11-13
65986,2017-11-15,2018,MIA,WAS,1526.04280511669,1570.4194291986998,93,102,1570.4194291986998,Win,2017-11-15
65998,2017-11-17,2018,WAS,MIA,1561.61364549555,1534.8485888198402,88,91,1561.61364549555,Loss,2017-11-17
66016,2017-11-19,2018,TOR,WAS,1605.9575039292902,1556.18043470705,100,91,1556.18043470705,Loss,2017-11-19
66029,2017-11-20,2018,MIL,WAS,1475.67598057176,1568.51165178917,88,99,1568.51165178917,Win,2017-11-20
66035,2017-11-22,2018,CHO,WAS,1486.20969869304,1561.7549642766198,129,124,1561.7549642766198,Loss,2017-11-22
66058,2017-11-25,2018,WAS,POR,1553.5138230186099,1549.9133083038,105,108,1553.5138230186099,Loss,2017-11-25
66080,2017-11-28,2018,MIN,WAS,1488.80647890242,1559.9897128673401,89,92,1559.9897128673401,Win,2017-11-28
66084,2017-11-29,2018,PHI,WAS,1482.47274442974,1553.35727410238,118,113,1553.35727410238,Loss,2017-11-29
66099,2017-12-01,2018,WAS,DET,1562.2332875438199,1514.82442940279,109,91,1562.2332875438199,Win,2017-12-01
66130,2017-12-04,2018,UTA,WAS,1583.7062819588,1542.0258946506601,116,69,1542.0258946506601,Loss,2017-12-04
66133,2017-12-05,2018,POR,WAS,1511.85013459573,1559.2428578163901,92,106,1559.2428578163901,Win,2017-12-05
66145,2017-12-07,2018,PHO,WAS,1358.49544272888,1566.35657039639,99,109,1566.35657039639,Win,2017-12-07
66156,2017-12-09,2018,LAC,WAS,1467.8975802836499,1562.27683989647,113,112,1562.27683989647,Loss,2017-12-09
66181,2017-12-12,2018,BRK,WAS,1432.69423778982,1554.2384801070002,103,98,1554.2384801070002,Loss,2017-12-12
66185,2017-12-13,2018,WAS,MEM,1556.6707048179,1398.8840646017402,93,87,1556.6707048179,Win,2017-12-13
66199,2017-12-15,2018,WAS,LAC,1561.3974171478399,1483.92054524178,100,91,1561.3974171478399,Win,2017-12-15
66221,2017-12-17,2018,WAS,CLE,1552.36910681579,1650.82915401732,99,106,1552.36910681579,Loss,2017-12-17
66232,2017-12-19,2018,WAS,NOP,1557.72098428711,1491.43433055341,116,106,1557.72098428711,Win,2017-12-19
